1636773450344|SEVERE|org.arl.unet.sim.HalfDuplexModem/Base@2642:die|Agent phy died: java.lang.NullPointerException
1636773527032|INFO|AUV1_Agent/1@2624:println|AUV-1 [3940.4000000000005, 0.0, 0.0]
1636773528688|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773528688|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773528688|INFO|AUV1_Agent/1@2624:println|AUV-1 [4023.2, 0.0, 0.0]
1636773530352|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773530352|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773530352|INFO|AUV1_Agent/1@2624:println|AUV-1 [4106.4, 0.0, 0.0]
1636773532020|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773532020|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773532020|INFO|AUV1_Agent/1@2624:println|AUV-1 [4189.8, 0.0, 0.0]
1636773533688|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773533688|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773533688|INFO|AUV1_Agent/1@2624:println|AUV-1 [4273.2, 0.0, 0.0]
1636773535357|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773535357|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773535357|INFO|AUV1_Agent/1@2624:println|AUV-1 [4356.65, 0.0, 0.0]
1636773537034|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773537034|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773537034|INFO|AUV1_Agent/1@2624:println|AUV-1 [4440.5, 0.0, 0.0]
1636773538696|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773538696|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773538696|INFO|AUV1_Agent/1@2624:println|AUV-1 [4523.599999999999, 0.0, 0.0]
1636773540368|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773540368|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773540368|INFO|AUV1_Agent/1@2624:println|AUV-1 [4607.200000000001, 0.0, 0.0]
1636773542034|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773542034|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773542034|INFO|AUV1_Agent/1@2624:println|AUV-1 [4690.5, 0.0, 0.0]
1636773543689|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773543689|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773543689|INFO|AUV1_Agent/1@2624:println|AUV-1 [4773.25, 0.0, 0.0]
1636773545358|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773545358|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773545358|INFO|AUV1_Agent/1@2624:println|AUV-1 [4856.7, 0.0, 0.0]
1636773547029|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773547029|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773547029|INFO|AUV1_Agent/1@2624:println|AUV-1 [4940.25, 0.0, 0.0]
1636773548696|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773548696|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773548696|INFO|AUV1_Agent/1@2624:println|AUV-1 [5023.599999999999, 0.0, 0.0]
1636773550360|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773550360|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773550360|INFO|AUV1_Agent/1@2624:println|AUV-1 [5106.8, 0.0, 0.0]
1636773552023|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773552023|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773552023|INFO|AUV1_Agent/1@2624:println|AUV-1 [5189.950000000001, 0.0, 0.0]
1636773553693|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773553694|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773553695|INFO|AUV1_Agent/1@2624:println|AUV-1 [5273.55, 0.0, 0.0]
1636773555368|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773555368|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773555368|INFO|AUV1_Agent/1@2624:println|AUV-1 [5357.200000000001, 0.0, 0.0]
1636773557036|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773557036|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773557036|INFO|AUV1_Agent/1@2624:println|AUV-1 [5440.599999999999, 0.0, 0.0]
1636773558697|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773558697|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773558698|INFO|AUV1_Agent/1@2624:println|AUV-1 [5523.7, 0.0, 0.0]
1636773560364|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773560364|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773560364|INFO|AUV1_Agent/1@2624:println|AUV-1 [5607.0, 0.0, 0.0]
1636773562031|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773562031|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773562031|INFO|AUV1_Agent/1@2624:println|AUV-1 [5690.35, 0.0, 0.0]
1636773563703|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
